video_id,comment_text,likes,replies,comment_published_at,clean_comment
jCE1Ol3PYDs,❤️ can you give me a PS5 please please 🥺🥺🥺🥺🥺🥺,0,0,2026-03-22T13:42:31Z,can you give me a ps5 please please
jCE1Ol3PYDs,Hello mrbeaste me in you fanboy,0,0,2026-03-22T13:39:58Z,hello mrbeaste me in you fanboy
jCE1Ol3PYDs,"10 i phone kaha hai 
This is Hindi language 
Come on I followed you but never got any gift uh get me",0,0,2026-03-22T13:39:27Z,10 i phone kaha hai this is hindi language come on i followed you but never got any gift uh get me
jCE1Ol3PYDs,Mr beast don't do comments reply to small creators,0,0,2026-03-22T13:38:57Z,mr beast don t do comments reply to small creators
jCE1Ol3PYDs,Boss Amar channel subscribers koriya diyen,0,0,2026-03-22T13:38:22Z,boss amar channel subscribers koriya diyen
jCE1Ol3PYDs,Waw.  Amazing Mr. Beast,1,0,2026-03-22T13:35:56Z,waw amazing mr beast
jCE1Ol3PYDs,Mujhe bhi gift chahie mister beast koi sa bhi,1,0,2026-03-22T13:32:49Z,mujhe bhi gift chahie mister beast koi sa bhi
jCE1Ol3PYDs,This is cool 🎉,0,0,2026-03-22T13:32:46Z,this is cool
jCE1Ol3PYDs,"Bro please come in India 
And come in Kerala",1,0,2026-03-22T13:31:51Z,bro please come in india and come in kerala
jCE1Ol3PYDs,My dream is a remake of the anime Naruto.,0,0,2026-03-22T13:29:39Z,my dream is a remake of the anime naruto
jCE1Ol3PYDs,I love you mr. Beastttttttttttttttttttttttttttttttttttttt,0,0,2026-03-22T13:27:35Z,i love you mr beastttttttttttttttttttttttttttttttttttttt
jCE1Ol3PYDs,Hello mr beast  I am your small subscriber  I am a Indian 🇮🇳 please  you give me a ps5 🎮 all setup you are very big creator  I am a small creator please give me ps5 all setup  and iam grow very much please read my comments,0,0,2026-03-22T13:26:39Z,hello mr beast i am your small subscriber i am a indian please you give me a ps5 all setup you are very big creator i am a small creator please give me ps5 all setup and iam grow very much please read my comments
jCE1Ol3PYDs,"Hey , give chance to me participate in video.",1,0,2026-03-22T13:22:32Z,hey give chance to me participate in video
jCE1Ol3PYDs,Viwigi iwiviqi i wiviiqi rtiwiv cwgkw g review eh Nazeer,0,0,2026-03-22T13:22:14Z,viwigi iwiviqi i wiviiqi rtiwiv cwgkw g review eh nazeer
IqL-ZunFfpk,He had me in the first half ngl,9650,1000,2026-03-17T15:58:07Z,he had me in the first half ngl
IqL-ZunFfpk,Như ở đây chỉ có tôi là người Việt Nam nhỉ,0,0,2026-03-22T14:11:31Z,nh y ch c t i l ng i vi t nam nh
IqL-ZunFfpk,Whoevers roof that lands on later is gonna be really happy 😂,0,0,2026-03-22T14:09:44Z,whoevers roof that lands on later is gonna be really happy
IqL-ZunFfpk,Please come to India for 15K sub,0,0,2026-03-22T14:06:53Z,please come to india for 15k sub
